City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
Chapmanslade,90,GB,1514085600,100,51.23,-2.25,48.2,6.93
Olhão,40,PT,1514086200,82,37.03,-7.84,59.0,17.22
Tohautu,75,PF,1514086200,74,-17.75,-149.32,84.2,11.41
Momy,90,FR,1514086200,81,43.4,-0.11,44.6,4.7
Suguri,0,JP,1514084400,56,36.27,138.15,48.2,17.22
Cercal,68,PT,1514086856,88,37.8,-8.67,36.98,4.25
Alar del Rey,0,ES,1514084400,100,42.66,-4.31,28.4,1.12
Bellaria-Igea Marina,0,IT,1514085300,100,44.14,12.47,33.8,8.77
Bail,90,AZ,1514084400,87,40.35,49.83,46.4,20.8
Rudabanya,90,HU,1514086200,62,48.38,20.63,32.0,3.36
Winchester,88,GB,1514083800,100,51.06,-1.31,48.2,5.82
Yelizavetovka,0,RU,1514086859,87,46.66,38.9,20.38,6.08
Tecumseh,90,US,1514085300,100,40.37,-96.19,21.2,3.36
Starokucherganovka,90,RU,1514084400,100,46.32,47.96,24.8,6.38
Stanley,90,US,1514085300,85,48.32,-102.39,12.2,16.11
Klein Oesingen,92,DE,1514085600,81,52.66,10.48,48.2,17.22
Delia,0,IT,1514086861,100,37.36,13.93,40.99,6.26
San Vitero,0,ES,1514086861,79,41.78,-6.35,20.33,2.28
Fingal,90,AU,1514084400,23,-41.64,147.97,64.4,12.75
La Mendieta,90,AR,1514084400,82,-24.31,-64.97,64.4,9.17
Sal’kovo,90,RU,1514084400,86,55.32,37.4,26.6,13.42
Pavlikovo,92,RU,1514086864,88,62.6,35.02,23.48,14.58
Veazie,90,US,1514084160,98,44.84,-68.71,39.2,4.7
Trenque Lauquen,0,AR,1514086864,37,-35.97,-62.73,58.81,5.26
Horlesti,75,RO,1514086200,100,47.12,27.37,33.8,8.05
Hutterscheid,75,DE,1514085840,100,50.0,6.38,42.8,13.87
Randallstown,20,US,1514085300,76,39.37,-76.8,51.8,6.93
Rossosh,76,RU,1514086866,87,50.2,39.58,22.0,10.07
Domingos Martins,0,BR,1514084400,83,-20.36,-40.66,78.8,9.17
Steden,75,DE,1514085600,93,53.37,8.87,46.4,19.46
Lanzo Torinese,0,IT,1514085600,69,45.27,7.48,33.8,4.7
Lasseube,90,FR,1514086200,81,43.22,-0.48,44.6,4.7
Filderstadt,75,DE,1514085600,87,48.66,9.22,42.8,4.7
Khed,0,IN,1514086869,69,18.85,73.88,54.98,2.28
Ures,0,MX,1514086870,96,30.73,-112.95,46.57,4.74
Hentern,75,DE,1514085600,100,49.62,6.69,44.6,13.87
Shiringushi,80,RU,1514086871,86,53.85,42.77,20.06,10.78
Jerome,1,US,1514084220,20,34.75,-112.11,46.4,4.7
Sarykamys,32,KZ,1514086872,52,47.78,78.72,-0.37,6.76
Abejales,8,VE,1514086872,88,7.62,-71.51,67.13,3.02
Xiamei,0,CN,1514084400,43,24.94,118.48,73.4,4.47
Roggwil,75,CH,1514086200,86,47.24,7.82,41.0,4.7
Ochotnica Dolna,20,PL,1514086200,75,49.53,20.32,44.6,17.22
Val de San Vicente,0,ES,1514086200,100,43.38,-4.47,39.2,1.12
